wissen(er weiss,er wusste,er hat gewusst)=savoir
denken(er denkt,er dachte,er hat gedacht)=penser
bringen(er bringt,er brachte,er hat gebracht)=apporter
kennen(er kennt,er kannte,er hat gekannt)=connaître
rennen(er rennt,er rannte,er ist gerannt)=courir
brennen(er brennt,er brannte,er hat gebrannt)=brûler
nennen(er nennt,er nannte,er hat genannt)=nommer
senden(er sendet,er sandt,er hat gesandt)=envoyer
senden(er sendet,er sendete,er hat gesendet)=émettre
wenden(er wendet,er wandte,er hat gewandt)=adresser
wenden (er wendet,er wendete,er hat gewendet)=faire demi-tour
fangen(er fängt,er fing,er hat gefangen)=attraper
hängen(er hängt,er hing,er hat gehangen)=être suspendu
blasen(er bläst,er blies,er hat geblasen)=souffler
braten(er brät,er briet,er hat gebraten)=rôtir
fallen(er fällt,er fiel,er ist gefallen)=tomber
halten(er hält,er hiel,er hat gehalten)=tenir/s'arrêter
lassen(er lässt,er ließ,er hat gelassen)=laisser
raten(er rät,er riet,er hat geraten)=conseiller/deviner
schlafen(er schläft,er schlief,er hat geschlafen)=dormir
backen(er bäckt,er backte,er hat gebacken)/backen(er backt,er backte,er hat gebacken)=cuire au four
fahren(er fährt,er fuhr,er ist gefahren)=aller en véhicule
fahren(er fährt,er fuhr,er hat gefahren)=conduire
graben(er gräbt,er grub,er hat gegraben)=creuser
laden(er lädt,er lud,er hat geladen)=charger
schaffen(er schäfft,er schuf,er hat geschaffen)=créer
schlagen(er schlägt,er schlug,er hat geschlagen)=battre/frapper
tragen(er trägt,er trug,er hat getragen)=porter
wachsen(er wächst,er wuchs,er hat gewachsen)=croître/grandir
waschen(er wäscht,er wusch,er hat gewaschen)=laver
laufen(er läuft,er lief,er ist gelaufen)=courir
saufen(er säuft,er soff,er hat gesoffen)=boire (animaux)
saugen(er saugt,er sog,er hat gesogen)=aspirer
